date,sol_in_trust,market_value_usd,implied_sol_px,nav_usd,market_price_usd,premium_discount_pct,shares_outstanding,share_delta,sol_delta,net_staking_reward_rate_pct,sponsor_fee_pct,est_net_reward_sol,w_shares,flow_method_agreement,flow_sol_final,flow_usd_final,cumulative_flow_usd,non_staking_inventory_sol,cumulative_est_staking_sol,cost_basis_usd,avg_buy_price_ex_staking,effective_cost_per_current_sol,confidence_score_0_1,observed_annual_yield_pct,estimated_annual_yield_pct,yield_model_error_pct,obs_ts_utc
2025-11-06,2670590.27,435194850.57,162.9583000652511,21.31,20.07,-5.82,20420000.0,0.0,0.0,7.25,0.0,0.0,0.25,1.887379141862766e-15,0.0,0.0,0.0,2670590.27,0.0,435194850.57,162.9583000652511,162.9583000652511,0.0,,7.25,,2025-11-06T09:08:04+00:00
2025-11-08,2931392.0,478240000.00000006,163.144335523874,21.35,20.33,-4.78,22400000.0,1980000.0,260801.72999999998,7.22,0.0,1056.5294109260274,0.25,0.9987837043968036,259587.42901323404,42350218.61671487,42350218.61671487,2930177.699013234,1214.3009867658839,477545069.1867149,162.97478113615185,162.9072703980617,0.7600301629705777,11.582162819325504,7.22,4.362162819325504,2025-11-08T18:41:24+00:00
2025-11-17,3160303.72,446702400.0,141.34793348279828,18.52,18.68,0.86,24120000.0,1720000.0,228911.7200000002,7.12,0.0,5146.399982465754,0.5700000000000001,0.9964457596217834,224675.2139378881,31757377.19492608,74107595.81164095,3154852.912951122,5450.807048878167,509302446.381641,161.43460897681842,161.156170895385,0.9519588596694177,4.896441992402098,7.12,-2.2235580075979025,2025-11-17T04:40:40+00:00
2026-01-02,5174316.62,640593000.0,123.80243557650711,16.35,16.4,0.31,39180000.0,15060000.0,2014012.9,6.76,0.0,26924.056021128767,0.845,0.9995437945371396,1988621.5633418402,246196192.98168102,320303788.79332197,5143474.476292962,30842.143707037903,755498639.363322,146.88488158063726,146.00935637435384,0.983602110781344,6.304271504191673,6.76,-0.45572849580832653,2026-01-02T14:45:02+00:00
2026-01-17,5581240.53,804261700.0,144.10088504105377,19.09,18.71,-1.99,42130000.0,2950000.0,406923.91000000015,6.74,0.0,14332.148226904112,0.25,0.9977205761360037,392145.33784714935,56508490.24849726,376812279.0418192,5535619.814140111,45620.71585988905,812007129.6118193,146.68766224472992,145.48864634074806,0.8987191030570504,7.591211398427807,6.74,0.8512113984278065,2026-01-17T03:44:51+00:00
2026-03-06,6627832.95,563238546.81,84.9808000682938,11.35,11.9,-0.03,49620000.0,7490000.0,1046592.4199999999,6.78,0.2,48295.31531493699,0.985,0.9989672309071357,1000330.294979732,85008868.79992998,461821147.8417492,6535950.109119844,91882.8408801565,897015998.4117492,137.2433974304839,135.34076751462922,0.996247492967769,6.285289144530705,6.58,-0.29471085546929476,2026-03-08T14:35:10.739939+00:00
2026-03-07,6627832.95,563238546.81,84.9808000682938,11.35,11.9,-0.03,49620000.0,0.0,0.0,6.78,0.2,1194.8257756438356,0.985,7.771561172376096e-16,-17.92238663465755,-1523.058755346494,461819624.78299385,6535932.186733209,91900.76326679159,897013538.6825174,137.2433974304839,135.3403963934422,0.0,0.0,6.58,-6.58,2026-03-09T04:59:52.742563+00:00
2026-03-08,6629475.85,569683456.61,85.9319001229939,11.48,11.34,-0.05,49620000.0,0.0,1642.8999999994412,6.78,0.2,1194.8257756438356,0.975,2.3314683517128287e-15,11.201855608890149,962.5967373753473,461820587.37973124,6535943.388588818,93532.46141118184,897014501.2792548,137.24330948847617,135.3070018769666,0.431584625511679,9.017608480821004,6.58,2.4376084808210035,2026-03-10T04:48:45.820290+00:00
2026-03-09,6630608.78,570640801.31,86.06160010996757,11.5,11.49,0.11,49620000.0,0.0,1132.9300000006333,6.77,0.2,1193.305653,0.945,1.6542323066914832e-14,-3.3206609149651656,-285.7813917645311,461820301.5983395,6535940.067927903,94668.7120720977,897014045.5407611,137.24330948847617,135.28381409659357,0.6441394374900798,6.283447475768589,6.569999999999999,-0.28655252423141064,2026-03-11T09:44:45.041852+00:00
2026-03-10,6667818.74,582501312.47,87.36010008424434,11.67,11.67,-0.03,49890000.0,270000.0,37209.95999999996,6.77,0.2,1193.5095803999998,0.985,0.9992855213893477,36067.18064266841,3150832.5107000326,464971134.10903955,6572007.248570571,95811.4914294295,900164878.0514611,136.96955039835802,135.00140198044153,0.9969223057690624,6.009219624629969,6.569999999999999,-0.5607803753700304,2026-03-12T19:02:17.138985+00:00
