date,nav_usd,shares_outstanding,eth_per_share,eth_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_eth,management_fee_pct,obs_ts_utc
2024-06-24,24.97121,400000.0,0.007583305938175597,3033.322375270239,9988483.999999998,24.97121,0.0,,,0.25,backfill
2024-06-25,25.868892,400000.0,0.00758325399807972,3033.3015992318883,10347556.8,25.868892,0.0,,,0.25,backfill
2024-06-26,25.585039,400000.0,0.007583202058339594,3033.280823335838,10234015.6,25.585039,0.0,,,0.25,backfill
2024-06-27,26.111983,400000.0,0.007583150118955219,3033.2600475820877,10444793.2,26.111983,0.0,,,0.25,backfill
2024-06-28,25.555212,400000.0,0.00758309817992659,3033.239271970636,10222084.8,25.555212,0.0,,,0.25,backfill
2024-07-01,26.314491,400000.0,0.007582942364975158,3033.1769459900634,10525796.4,26.314491,0.0,,,0.25,backfill
2024-07-02,25.898572,400000.0,0.0075828904273694915,3033.1561709477965,10359428.8,25.898572,0.0,,,0.25,backfill
2024-07-03,24.857113,400000.0,0.007582838490119559,3033.1353960478236,9942845.2,24.857113,0.0,,,0.25,backfill
2024-07-05,22.63404,400000.0,0.00758273461668689,3033.0938466747557,9053616.0,22.63404,0.0,,,0.25,backfill
2024-07-08,22.699191,400000.0,0.007582578809205834,3033.0315236823335,9079676.399999999,22.699191,0.0,,,0.25,backfill
2024-07-09,23.197926,400000.0,0.007582526874090257,3033.010749636103,9279170.4,23.197926,0.0,,,0.25,backfill
2024-07-10,23.500771,400000.0,0.0075824749393304,3032.98997573216,9400308.4,23.500771,0.0,,,0.25,backfill
2024-07-11,23.65473,400000.0,0.007582423004926257,3032.9692019705026,9461892.0,23.65473,0.0,,,0.25,backfill
2024-07-12,23.719207,400000.0,0.007582371070877826,3032.9484283511306,9487682.8,23.719207,0.0,,,0.25,backfill
2024-07-15,25.78305,400000.0,0.007582215270866788,3032.886108346715,10313220.0,25.78305,0.0,,,0.25,backfill
2024-07-16,26.27614,400000.0,0.007582163338241183,3032.865335296473,10510456.0,26.27614,0.0,,,0.25,backfill
2024-07-17,25.919034,400000.0,0.007582111405971279,3032.844562388512,10367613.600000001,25.919034,0.0,,,0.25,backfill
2024-07-18,25.776278,400000.0,0.007582059474057073,3032.823789622829,10310511.2,25.776278,0.0,,,0.25,backfill
2024-07-19,26.703823,400000.0,0.007582007542498563,3032.8030169994254,10681529.2,26.703823,0.0,,,0.25,backfill
2024-07-22,26.400412,400000.0,0.007581851749957183,3032.740699982873,10560164.8,26.400412,0.0,,,0.25,backfill
2024-07-23,26.338801,400000.0,0.007581799819821431,3032.7199279285724,10535520.4,26.338801,0.0,,,0.25,backfill
2024-07-24,25.654308,10520000.0,0.007581747890041363,79759.98780323514,269883320.15999997,25.654308,0.0,,,0.25,backfill
2024-07-25,23.642959,11200000.0,0.007581695960616976,84914.99475891014,264801140.80000004,23.642959,0.0,,,0.25,backfill
2024-07-26,24.777778,14200000.0,0.007581644031548267,107659.34524798539,351844447.6,24.777778,0.0,,,0.25,backfill
2024-07-29,25.073121,17720000.0,0.007581488246476187,134343.97172755803,444295704.12,25.073121,0.0,,,0.25,backfill
2024-07-30,24.785541,20040000.0,0.007581436318830168,151931.98382935658,496702241.64,24.785541,0.0,,,0.25,backfill
2024-07-31,24.87972,24800000.0,0.007581384391539815,188018.33291018743,617017056.0,24.87972,0.0,,,0.25,backfill
2024-08-01,23.591353,25000000.0,0.007581332464605127,189533.31161512816,589783825.0,23.591353,0.0,,,0.25,backfill
2024-08-02,22.793695,28800000.0,0.0075812805380261,218340.8794951517,656458416.0,22.793695,0.0,,,0.25,backfill
2024-08-05,18.109894,28800000.0,0.007581124760422963,218336.39310018133,521564947.2,18.109894,0.0,,,0.25,backfill
2024-08-06,18.946142,31400000.0,0.007581072835266558,238045.68702736992,594908858.8,18.946142,0.0,,,0.25,backfill
2024-08-07,17.823287,37200000.0,0.0075810209104658,282013.97786932776,663026276.4,17.823287,0.0,,,0.25,backfill
2024-08-08,19.559591,37200000.0,0.007580968986020692,282012.04627996974,727616785.2,19.559591,0.0,,,0.25,backfill
2024-08-09,19.638089,37800000.0,0.007580917061931226,286558.66494100034,742319764.2,19.638089,0.0,,,0.25,backfill
2024-08-12,20.11146,38800000.0,0.007580761291796673,294133.5381217109,780324647.9999999,20.11146,0.0,,,0.25,backfill
2024-08-13,20.468515,38800000.0,0.007580709369129763,294131.5235222348,794178382.0000001,20.468515,0.0,,,0.25,backfill
