date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-04-01,39.488238,442400000.0,0.0005697157578645,252042.2512792638,17469596491.2,39.488238,0.0,,,0.25,backfill
2024-04-02,37.618714,446600000.0,0.0005697118557285,254433.314768358,16800517672.399998,37.618714,0.0,,,0.25,backfill
2024-04-03,37.530927,450600000.0,0.0005697079536192,256710.40390083444,16911435706.2,37.530927,0.0,,,0.25,backfill
2024-04-04,39.136822,451720000.0,0.0005697040515367,257346.7141601609,17678885233.84,39.136822,0.0,,,0.25,backfill
2024-04-05,38.602085,455400000.0,0.0005697001494808,259441.4480735963,17579389509.0,38.602085,0.0,,,0.25,backfill
2024-04-08,40.902156,463400000.0,0.0005696884434737,263993.62470575405,18954059090.4,40.902156,0.0,,,0.25,backfill
2024-04-09,39.228002,463920000.0,0.0005696845415248,264288.05250422,18198654687.84,39.228002,0.0,,,0.25,backfill
2024-04-10,39.610443,467200000.0,0.0005696806396026,266154.7948223749,18505998969.6,39.610443,0.0,,,0.25,backfill
2024-04-11,40.021102,468040000.0,0.0005696767377072,266631.5003164882,18731476580.08,40.021102,0.0,,,0.25,backfill
2024-04-12,38.063412,472840000.0,0.0005696728358384,269364.1036978686,17997903730.079998,38.063412,0.0,,,0.25,backfill
2024-04-15,35.982819,475760000.0,0.0005696611303926,271021.9793955913,17119185967.44,35.982819,0.0,,,0.25,backfill
2024-04-16,35.807544,477800000.0,0.0005696572286307,272182.22383978515,17108844523.2,35.807544,0.0,,,0.25,backfill
2024-04-17,34.790992,478520000.0,0.0005696533268956,272590.5099861117,16648185491.84,34.790992,0.0,,,0.25,backfill
2024-04-18,36.082117,479040000.0,0.0005696494251872,272884.8606417095,17284777327.68,36.082117,0.0,,,0.25,backfill
2024-04-19,36.594688,479560000.0,0.0005696455235056,273179.20725234627,17549348577.28,36.594688,0.0,,,0.25,backfill
2024-04-22,37.795645,480360000.0,0.0005696338186209,273629.30111275445,18155516032.2,37.795645,0.0,,,0.25,backfill
2024-04-23,37.923331,480880000.0,0.0005696299170461,273923.6345091599,18236571411.28,37.923331,0.0,,,0.25,backfill
2024-04-24,36.566707,481880000.0,0.0005696260154981,274491.38434823113,17620764769.16,36.566707,0.0,,,0.25,backfill
2024-04-25,36.810411,481880000.0,0.0005696221139767,274489.50428313325,17738200852.68,36.810411,0.0,,,0.25,backfill
2024-04-26,36.38796,481880000.0,0.0005696182124821,274487.62423091254,17534630164.8,36.38796,0.0,,,0.25,backfill
2024-04-29,35.707196,481880000.0,0.0005696065081586,274481.98415151186,17206583608.480003,35.707196,0.0,,,0.25,backfill
2024-04-30,34.138481,481880000.0,0.0005696026067709,274480.1041507985,16450651224.28,34.138481,0.0,,,0.25,backfill
2024-05-01,32.974669,481880000.0,0.0005695987054099,274478.2241629617,15889833497.72,32.974669,0.0,,,0.25,backfill
2024-05-02,33.702299,480760000.0,0.0005695948040757,273838.3980074368,16202717267.24,33.702299,0.0,,,0.25,backfill
2024-05-03,35.181455,480760000.0,0.0005695909027681,273836.52241481753,16913836305.799995,35.181455,0.0,,,0.25,backfill
2024-05-06,35.912156,481120000.0,0.0005695791990058,274035.9442256801,17278056494.72,35.912156,0.0,,,0.25,backfill
2024-05-07,35.947288,481720000.0,0.0005695752978051,274375.8124586969,17316527575.36,35.947288,0.0,,,0.25,backfill
2024-05-08,35.458644,481720000.0,0.0005695713966312,274373.9331851819,17081137987.679998,35.458644,0.0,,,0.25,backfill
2024-05-09,35.486377,481720000.0,0.0005695674954839,274372.0539245386,17094497528.439997,35.486377,0.0,,,0.25,backfill
2024-05-10,34.545171,482120000.0,0.0005695635943634,274598.0001145123,16654917842.520002,34.545171,0.0,,,0.25,backfill
2024-05-13,35.87109,482480000.0,0.0005695518911622,274797.39644796343,17307083503.2,35.87109,0.0,,,0.25,backfill
2024-05-14,35.021919,482480000.0,0.0005695479901486,274795.5142869067,16897375479.12,35.021919,0.0,,,0.25,backfill
2024-05-15,37.544113,482480000.0,0.0005695440891617,274793.6321387414,18114283640.24,37.544113,0.0,,,0.25,backfill
2024-05-16,37.182694,482480000.0,0.0005695401882015,274791.7500034674,17939906201.12,37.182694,0.0,,,0.25,backfill
2024-05-17,38.082926,485000000.0,0.000569536287268,276225.0993250001,18470219110.0,38.082926,0.0,,,0.25,backfill
